ID,Room Num,Floor,Description,Wing,Department
1,ABB00001,G,MEDICAL OBS,GRD FLOOR WEST WING,MORTUARY
2,ABB00002,G,CORRIDOR,GRD FLOOR WEST WING,MORTUARY
3,ABB00003,G,CORRIDOR,GRD FLOOR WEST WING,MORTUARY
4,ABB00004,G,CUPBOARD ELECTRIC,GRD FLOOR WEST WING,MORTUARY
5,ABB00005,G,WASH/SCRUB,GRD FLOOR WEST WING,SUPPLIES
6,ABB00006,G,ANATOMY,GRD FLOOR WEST WING,SUPPLIES
7,ABB00007,G,CORRIDOR,GRD FLOOR WEST WING,MORTUARY
8,ABB00008,G,STAFF ROOM,GRD FLOOR WEST WING,MORTUARY
9,ABB00009,G,COUNSELLING,GRD FLOOR WEST WING,MORTUARY
10,ABB00010,G,VIEWING,GRD FLOOR WEST WING,MORTUARY
11,ABB00011,G,OFFICE CORONER,GRD FLOOR WEST WING,MORTUARY
12,ABB00012,G,WC,GRD FLOOR WEST WING,MORTUARY
13,ABB00013,G,WAITING,GRD FLOOR WEST WING,MORTUARY
14,ABB00014,G,CUPBOARD CLEANERS,GRD FLOOR WEST WING,MORTUARY
15,ABB00015,G,WC DISABLED,GRD FLOOR WEST WING,MORTUARY
16,ABB00016,G,ISO CHAPEL VIEW ROOM,GRD FLOOR WEST WING,MORTUARY
17,ABB00017,G,ISOLATION CHAPEL,GRD FLOOR WEST WING,MORTUARY
18,ABB00018,G,OFFICE APPOINTMENTS,GRD FLOOR WEST WING,MORTUARY
19,ABB00019,G,CUPBOARD ELECTRIC,GRD FLOOR WEST WING,MORTUARY
20,ABB00020,G,CORRIDOR,GRD FLOOR WEST WING,MORTUARY
21,ABB00021,G,POST MORTEM ROOM,GRD FLOOR WEST WING,MORTUARY
22,ABB00022,G,POST MORTEM,GRD FLOOR WEST WING,MORTUARY
23,ABB00023,G,UTILITY DIRTY,GRD FLOOR WEST WING,MORTUARY
24,ABB00024,G,DISPOSAL,GRD FLOOR WEST WING,MORTUARY
25,ABB00025,G,CHANGING ROOM MALE,GRD FLOOR WEST WING,MORTUARY
26,ABB00026,G,WC MALE CHANGE,GRD FLOOR WEST WING,MORTUARY
27,ABB00027,G,SHOWER MALE CHANGE,GRD FLOOR WEST WING,MORTUARY
28,ABB00028,G,CHANGING ROOM FEMALE,GRD FLOOR WEST WING,MORTUARY
29,ABB00029,G,WC FEMALE CHANGE,GRD FLOOR WEST WING,MORTUARY
30,ABB00030,G,SHOWER FEMALE CHANGE,GRD FLOOR WEST WING,MORTUARY
31,ABB00031,G,SUPPLIES MAIN RECEPTION,GRD FLOOR WEST WING,SUPPLIES
32,ABB00032,G,OFFICE TECHNICIANS,GRD FLOOR WEST WING,SUPPLIES
33,ABB00033,G,WC LOCKER ROOM,GRD FLOOR WEST WING,SUPPLIES
34,ABB00034,G,WC LOCKER ROOM,GRD FLOOR WEST WING,SUPPLIES
35,ABB00035,G,CLASSROOM,GRD FLOOR WEST WING,SUPPLIES
36,ABB00038,G,STORE BODY,GRD FLOOR WEST WING,MORTUARY
37,ABB00039,G,STORE TROLLEY,GRD FLOOR WEST WING,MORTUARY
38,ABB99999,G,VERTICALS,GRD FLOOR WEST WING,MORTUARY
39,ABC00001,G,POST ROOM,GRD FLOOR WEST WING,FM VILLAGE
